element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""5320.035""","=""0.004""","=""5320.0370""","=""0.0004""","=""191""","=""1.5e+05""",D,"=""29371.812""","=""48163.446""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5320.158""","=""0.004""","=""5320.1463""","=""0.0008""","=""11bl(Fe II)*""","=""""",,"=""96239.416""","=""115030.664""","=""3d5.(4G).4s.4p.(3P*)""","=""2H*""","=""9/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5320.158""","=""0.004""","=""5320.1644""","=""0.0005""","=""11bl(Fe II)*""","=""""",,"=""104119.740""","=""122910.924""","=""3d6.(3H).4d""","=""2K""","=""15/2""","=""3d6.(3H<6>).4f""","=""2[8]*""","=""15/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5321.1076""","=""0.0023""","=""5321.1074""","=""0.0004""","=""355""","=""2.13e+06""",C,"=""35767.564""","=""54555.418""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""5321.8342""","=""0.0023""","=""5321.8351""","=""0.0004""","=""347""","=""""",,"=""29313.008""","=""48098.293""","=""3d6.4s2""","=""a 1I""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""1I*""","=""6""",,"=""""","=""L11631""",
Fe,1,"=""5322.0404""","=""0.0009""","=""5322.0405""","=""0.0004""","=""830""","=""5.29e+04""",C,"=""18378.186""","=""37162.746""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5322.2361""","=""0.0005""","=""5322.2366""","=""0.0003""","=""400""","=""1.67e+07""",C+,"=""84326.967""","=""103110.835""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5324.06""","=""0.03""","=""5324.0473""","=""0.0005""","=""20""","=""""",,"=""27222.9417""","=""46000.4213""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",,"=""""","=""L808""",
Fe,1,"=""5324.1787""","=""0.0009""","=""5324.1785""","=""0.0004""","=""78000""","=""2.06e+07""",B,"=""25899.989""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,"=""T5783""","=""L11631""",
Fe,2,"=""5325.0472""","=""0.0018""","=""5325.0488""","=""0.0005""","=""15""","=""""",,"=""104622.308""","=""123396.256""","=""3d6.(3H).4d""","=""2I""","=""13/2""","=""3d6.(3H<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5325.543""","=""0.005""","=""5325.5524""","=""0.0003""","=""110""","=""1.6e+04""",D,"=""25981.6451""","=""44753.8179""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T4412,T8280""","=""L18349c139""",
Fe,1,"=""5326.1424""","=""0.0009""","=""5326.1422""","=""0.0004""","=""560""","=""2.22e+05""",B,"=""28819.954""","=""47590.048""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""4""",,"=""T6110""","=""L11631""",
Fe,1,"=""5328.0383""","=""0.0009""","=""5328.0381""","=""0.0004""","=""740000""","=""1.15e+06""",A,"=""7376.764""","=""26140.179""","=""3d7.(4F).4s""","=""a 5F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""T3548""","=""L11631""",
Cr,1,"=""5328.3238""","=""0.0003""","=""5328.32346""","=""0.00020""","=""930""","=""6.2e+07""",D,"=""23498.8156""","=""42261.2258""","=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""3d5.(6S).4d""","=""e 7D""","=""5""",,"=""T1426n""","=""L14866""",
Fe,1,"=""5328.5313""","=""0.0009""","=""5328.5311""","=""0.0004""","=""105000""","=""4.74e+05""",B,"=""12560.934""","=""31322.613""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5328.9359""","=""0.0008""","=""5328.9370""","=""0.0003""","=""150""","=""4.5e+06""",D+,"=""84938.265""","=""103698.515""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5329.1370""","=""0.0003""","=""5329.13725""","=""0.00020""","=""290""","=""2.25e+07""",B,"=""23498.8156""","=""42258.3607""","=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""3d5.(6S).4d""","=""e 7D""","=""4""",,"=""u10""","=""L14866""",
Fe,2,"=""5329.6492""","=""0.0014""","=""5329.6481""","=""0.0003""","=""90""","=""1.8e+06""",D+,"=""84266.594""","=""103024.341""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5329.7831""","=""0.0006""","=""5329.7833""","=""0.0003""","=""51""","=""5.38e+06""",B,"=""23498.8156""","=""42256.0868""","=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""3d5.(6S).4d""","=""e 7D""","=""3""",,"=""u10""","=""L14866""",
Fe,1,"=""5329.9887""","=""0.0009""","=""5329.9894""","=""0.0006""","=""2040""","=""1.29e+06""",C+,"=""32873.632""","=""51630.178""","=""3d8""","=""c 3F""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""1H*""","=""5""",,"=""T5720""","=""L11631""",
Fe,1,"=""5332.6598""","=""0.0023""","=""5332.6605""","=""0.0006""","=""427""","=""6.8e+05""",E,"=""33765.306""","=""52512.457""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2P).4p""","=""u 3D*""","=""1""",,"=""T2578n""","=""L11631""",
Fe,1,"=""5332.8994""","=""0.0009""","=""5332.8994""","=""0.0004""","=""11000""","=""4.36e+04""",B,"=""12560.934""","=""31307.245""","=""3d7.(4F).4s""","=""a 3F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""T5720""","=""L11631""",
Fe,2,"=""5333.661""","=""""","=""5333.6610""","=""0.0004""","="":""","=""2.78e-01""",B,"=""2837.9807""","=""21581.6151""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""",E2,"=""T9588c100""","=""L22747,L22760""",
Cr,1,"=""5333.71""","=""0.03""","=""5333.7226""","=""0.0005""","=""12""","=""""",,"=""27222.9417""","=""45966.3597""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(4G).4p""","=""y 3F*""","=""2""",,"=""""","=""L808""",
Ti,2,"=""5336.7860""","=""0.0006""","=""5336.7863""","=""0.0003""","=""201""","=""5.8e+05""",D,"=""12758.2597""","=""31490.9177""","=""3d3""","=""b 2D2""","=""5/2""","=""3d2.(3F).4p""","=""z 2F*""","=""7/2""",,"=""T3853""","=""u37""",
Fe,2,"=""5339.5943""","=""0.0003""","=""5339.5943""","=""0.0003""","=""4000""","=""5.5e+07""",B+,"=""84296.881""","=""103019.688""","=""3d6.(5D).4d""","=""e 6G""","=""11/2""","=""3d6.(5D<4>).4f""","=""2[7]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5339.9290""","=""0.0009""","=""5339.9291""","=""0.0004""","=""19500""","=""6.36e+06""",C+,"=""26339.696""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5340.3023""","=""0.0005""","=""5340.3022""","=""0.0005""","=""40""","=""""",,"=""109389.879""","=""128110.204""","=""3d6.(3G).4d""","=""2I""","=""11/2""","=""3d6.(3G<3>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5340.4469""","=""0.0009""","=""5340.4469""","=""0.0004""","=""19""","=""1.45e+07""",B,"=""27728.8110""","=""46448.6289""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""","=""3d4.4s.5s""","=""f 7D""","=""1""",,"=""u10""","=""L14866""",
Fe,1,"=""5341.0237""","=""0.0009""","=""5341.0235""","=""0.0004""","=""81000""","=""5.21e+05""",B,"=""12968.554""","=""31686.351""","=""3d7.(4F).4s""","=""a 3F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""",,"=""T5720""","=""L11631""",
Fe,2,"=""5344.1077""","=""0.0008""","=""5344.1087""","=""0.0003""","=""230""","=""1.00e+07""",C+,"=""84938.265""","=""103645.256""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5344.7564""","=""0.0014""","=""5344.7572""","=""0.0003""","=""10""","=""4.1e+06""",D,"=""27820.1975""","=""46524.9187""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""3d4.4s.5s""","=""f 7D""","=""2""",,"=""T4288""","=""L14866""",
Cr,1,"=""5345.541""","=""0.006""","=""5345.5377""","=""0.0020""","=""*""","=""""",,"=""42258.3607""","=""60960.351""","=""3d5.(6S).4d""","=""e 7D""","=""4""","=""3d5.(2F2).4p""","=""p 3F*""","=""4""",,"=""""","=""L9190""",
Cr,1,"=""5345.541""","=""0.006""","=""5345.5379""","=""0.0004""","=""*""","=""""",,"=""27935.2412""","=""46637.2307""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""3""",,"=""""","=""L9190""",
Fe,2,"=""5345.738""","=""0.009""","=""5345.7364""","=""0.0003""","=""25""","=""2.1e+06""",D+,"=""84424.422""","=""103125.717""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5345.7959""","=""0.0003""","=""5345.79650""","=""0.00015""","=""5100""","=""4.9e+06""",B,"=""8095.1842""","=""26796.2691""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""T4624,T4913""","=""L14866""",
Fe,2,"=""5345.9536""","=""0.0018""","=""5345.9523""","=""0.0003""","=""100""","=""2.7e+06""",D+,"=""84685.245""","=""103385.785""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Mg,1,"=""5345.977""","=""""","=""5345.976""","=""""","=""1d*""","=""""",,"=""41197.403""","=""59897.86""","=""3s.4s""","=""3S""","=""1""","=""3s.9p""","=""3P*""","=""2""",,"=""""","=""L6095""",
Mg,1,"=""5345.977""","=""""","=""5345.976""","=""""","=""1d*""","=""""",,"=""41197.403""","=""59897.86""","=""3s.4s""","=""3S""","=""1""","=""3s.9p""","=""3P*""","=""1""",,"=""""","=""L6095""",
Mg,1,"=""5345.977""","=""""","=""5345.976""","=""""","=""1d*""","=""""",,"=""41197.403""","=""59897.86""","=""3s.4s""","=""3S""","=""1""","=""3s.9p""","=""3P*""","=""0""",,"=""""","=""L6095""",
Fe,2,"=""5346.8578""","=""0.0007""","=""5346.8575""","=""0.0004""","=""280""","=""1.03e+07""",C+,"=""84326.967""","=""103024.341""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5347.1873""","=""0.0004""","=""5347.1875""","=""0.0003""","=""600""","=""3.1e+07""",C+,"=""85172.826""","=""103869.046""","=""3d6.(5D).4d""","=""f 4D""","=""1/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5347.663""","=""""","=""5347.6630""","=""0.0004""","="":""","=""7.2e-02""",C+,"=""3117.4877""","=""21812.0454""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""",E2,"=""T9588c100""","=""L22760""",
Cr,1,"=""5348.3141""","=""0.0003""","=""5348.31470""","=""0.00015""","=""3200""","=""1.7e+06""",B,"=""8095.1842""","=""26787.4640""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",,"=""T4624,T4913""","=""L14866""",
Fe,1,"=""5349.7373""","=""0.0009""","=""5349.7371""","=""0.0004""","=""479""","=""1.4e+06""",D,"=""35379.208""","=""54066.518""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5350.539""","=""0.003""","=""5350.538""","=""0.003""","=""60""","=""""",,"=""88157.176""","=""106841.688""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5351.9322""","=""0.0014""","=""5351.9303""","=""0.0003""","=""120""","=""3.0e+06""",D+,"=""84685.245""","=""103364.897""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5352.683""","=""0.005""","=""5352.6719""","=""0.0011""","=""150bl(Fe II)*""","=""""",,"=""104593.292""","=""123270.356""","=""3d6.(5D).5d""","=""6G""","=""11/2""","=""3d6.(3H<5>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5352.683""","=""0.005""","=""5352.6794""","=""0.0004""","=""150bl(Fe II)*""","=""""",,"=""62962.215""","=""81639.253""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5353.0733""","=""0.0011""","=""5353.0737""","=""0.0003""","=""160bl(Fe II)*""","=""3.4e+06""",D+,"=""84266.594""","=""102942.256""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5353.0733""","=""0.0011""","=""5353.0800""","=""0.0009""","=""160bl(Fe II)*""","=""""",,"=""104765.459""","=""123441.099""","=""3d6.(3H).4d""","=""2I""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5353.188""","=""0.003""","=""5353.1890""","=""0.0011""","=""7""","=""""",,"=""104315.373""","=""122990.633""","=""3d6.(3H).4d""","=""2K""","=""13/2""","=""3d6.(3H<6>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5353.2538""","=""0.0016""","=""5353.2532""","=""0.0003""","=""110""","=""7.6e+06""",C+,"=""84710.749""","=""103385.785""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5353.3732""","=""0.0009""","=""5353.3736""","=""0.0004""","=""1910""","=""""",,"=""33095.941""","=""51770.557""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5353.798""","=""0.003""","=""5353.7973""","=""0.0009""","=""8""","=""""",,"=""105763.286""","=""124436.424""","=""3d6.(3F2).4d""","=""2H""","=""11/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5355.4209""","=""0.0006""","=""5355.4206""","=""0.0003""","=""320bl(Ne)""","=""7.4e+06""",C+,"=""84685.245""","=""103352.723""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
Cr,1,"=""5355.72""","=""0.03""","=""5355.7161""","=""0.0011""","=""2""","=""""",,"=""31352.3828""","=""50018.831""","=""3d5.(4F).4s""","=""a 5F""","=""1""","=""3d5.(4D).4p""","=""s 5F*""","=""1""",,"=""""","=""L808""",
Cr,1,"=""5356.30""","=""0.06""","=""5356.2765""","=""0.0003""","=""2w""","=""""",,"=""27703.7743""","=""46368.2695""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""""","=""L808""",
Fe,1,"=""""","=""""","=""5356.3193""","=""0.0004""","=""""","=""1.0e-03""",E,"=""888.132""","=""19552.478""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.4s2""","=""a 3P2""","=""1""",E2,"=""T6409""","=""""",
Cr,1,"=""5356.51""","=""0.03""","=""5356.5013""","=""0.0011""","=""8""","=""""",,"=""31355.1192""","=""50018.831""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4D).4p""","=""s 5F*""","=""1""",,"=""""","=""L808""",
Fe,2,"=""5357.086""","=""0.002""","=""5357.0865""","=""0.0014""","=""10""","=""""",,"=""104765.459""","=""123427.132""","=""3d6.(3H).4d""","=""2I""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5358.114""","=""0.006""","=""5358.1130""","=""0.0004""","=""79""","=""""",,"=""26623.735""","=""45281.833""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""5358.8719""","=""0.0005""","=""5358.8724""","=""0.0004""","=""400""","=""7.1e+06""",C+,"=""84685.245""","=""103340.699""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5359.2474""","=""0.0010""","=""5359.2476""","=""0.0003""","=""190""","=""8.2e+06""",C+,"=""84710.749""","=""103364.897""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Ti,2,"=""5360.12""","=""0.02""","=""5360.1207""","=""0.0005""","=""5""","=""""",,"=""20951.7551""","=""39602.8645""","=""3d3""","=""b 2F""","=""5/2""","=""3d2.(1D).4p""","=""y 2D*""","=""3/2""",,"=""""","=""L5432""",
Fe,2,"=""5360.4795""","=""0.0007""","=""5360.4798""","=""0.0003""","=""250""","=""1.01e+07""",C+,"=""85048.655""","=""103698.515""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5361.6248""","=""0.0023""","=""5361.6249""","=""0.0004""","=""339""","=""1.8e+06""",E,"=""35611.625""","=""54257.502""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""T2578n""","=""L11631""",
Fe,2,"=""""","=""""","=""5362.0630""","=""0.0005""","=""""","=""2.02e-02""",C,"=""1872.5998""","=""20516.9534""","=""3d7""","=""a 4F""","=""9/2""","=""3d7""","=""a 2D2""","=""5/2""",E2,"=""T8961""","=""""",
Fe,2,"=""5362.7509""","=""0.0003""","=""5362.7474""","=""0.0003""","=""700""","=""1.50e+07""",B+,"=""84710.749""","=""103352.723""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""5362.9698""","=""0.0003""","=""5362.9701""","=""0.0003""","=""800""","=""1.44e+07""",B+,"=""84685.245""","=""103326.445""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5362.99""","=""0.03""","=""5362.9812""","=""0.0004""","=""25""","=""""",,"=""31008.9708""","=""49650.1320""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""""","=""L808""",
Fe,1,"=""""","=""""","=""5363.9053""","=""0.0004""","=""""","=""2.0e-02""",E,"=""7985.785""","=""26623.735""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d7.(2D2).4s""","=""a 3D""","=""2""",M1,"=""T6409""","=""""",
Fe,1,"=""5364.8709""","=""0.0009""","=""5364.8704""","=""0.0004""","=""10000""","=""5.59e+07""",C+,"=""35856.402""","=""54490.999""","=""3d7.(4F).4p""","=""z 5G*""","=""2""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,"=""T5720""","=""L11631""",
Fe,1,"=""5365.3987""","=""0.0009""","=""5365.3985""","=""0.0004""","=""8700""","=""2.46e+06""",B,"=""28819.954""","=""47452.717""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d7.(2G).4p""","=""z 1G*""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""5365.99""","=""0.03""","=""5365.9560""","=""0.0020""","=""20""","=""""",,"=""37244.011""","=""55874.838""","=""3d5.(2G2).4s""","=""c 3G""","=""4""","=""3d4.(1I).4s.4p.(3P*)""","=""u 3H*""","=""5""",,"=""""","=""L808""",
Fe,2,"=""5366.2087""","=""0.0004""","=""5366.2086""","=""0.0003""","=""700""","=""1.84e+07""",B+,"=""84710.749""","=""103340.699""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5366.877""","=""0.003""","=""5366.8767""","=""0.0004""","=""60""","=""8.e+06""",D+,"=""85048.655""","=""103676.286""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5366.956""","=""0.003""","=""5366.9582""","=""0.0009""","=""9""","=""""",,"=""104622.308""","=""123249.656""","=""3d6.(3H).4d""","=""2I""","=""13/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5367.132""","=""0.010""","=""5367.1366""","=""0.0009""","=""18""","=""""",,"=""88209.461""","=""106836.190""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5367.466""","=""0.006""","=""5367.4654""","=""0.0006""","=""14800bl""","=""7.13e+07""",B,"=""35611.625""","=""54237.213""","=""3d7.(4F).4p""","=""z 5G*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,"=""T5720""","=""L11631""",
Cr,1,"=""5367.790""","=""0.005""","=""5367.7895""","=""0.0005""","=""2""","=""""",,"=""31028.2590""","=""49652.7224""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d5.(4D).4p""","=""x 3F*""","=""2""",,"=""""","=""L14866""",
Cr,1,"=""5368.5365""","=""0.0009""","=""5368.5362""","=""0.0004""","=""16""","=""""",,"=""31028.2590""","=""49650.1320""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""5368.911""","=""0.003""","=""5368.9096""","=""0.0003""","=""70""","=""2.2e+06""",D+,"=""84266.594""","=""102887.172""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5369.9615""","=""0.0009""","=""5369.9607""","=""0.0004""","=""20400""","=""7.22e+07""",B+,"=""35257.324""","=""53874.257""","=""3d7.(4F).4p""","=""z 5G*""","=""4""","=""3d7.(4F).4d""","=""e 5H""","=""5""",,"=""T5720""","=""L11631""",
Fe,2,"=""5370.2772""","=""0.0007""","=""5370.2789""","=""0.0003""","=""220""","=""6.3e+06""",C+,"=""84266.594""","=""102882.424""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5370.3163""","=""0.0011""","=""5370.3176""","=""0.0003""","=""220""","=""3.9e+06""",D+,"=""84710.749""","=""103326.445""","=""3d6.(5D).4d""","=""e 6G""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5370.4338""","=""0.0012""","=""5370.4350""","=""0.0003""","=""170""","=""4.9e+06""",D+,"=""84326.967""","=""102942.256""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5370.790""","=""0.002""","=""5370.7930""","=""0.0012""","=""70""","=""""",,"=""83726.416""","=""102340.464""","=""3d6.(5D).4d""","=""6D""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""4K*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5371.2772""","=""0.0007""","=""5371.2735""","=""0.0004""","=""210""","=""7.8e+06""",C+,"=""85048.655""","=""103661.038""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5371.48""","=""0.03""","=""5371.5014""","=""0.0005""","=""50""","=""""",,"=""31008.9708""","=""49620.5640""","=""3d5.(2D3).4s""","=""b 3D""","=""3""","=""3d5.(4D).4p""","=""x 3F*""","=""4""",,"=""""","=""L808""",
Fe,1,"=""5371.4893""","=""0.0009""","=""5371.4891""","=""0.0004""","=""389000""","=""1.05e+06""",A,"=""7728.060""","=""26339.696""","=""3d7.(4F).4s""","=""a 5F""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",,"=""T3548""","=""L11631""",
Fe,2,"=""5372.538""","=""0.008""","=""5372.5329""","=""0.0003""","=""70""","=""""",,"=""67516.328""","=""86124.348""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(5D).4d""","=""e 4F""","=""9/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5373.7013""","=""0.0014""","=""5373.7015""","=""0.0005""","=""11""","=""""",,"=""31048.7488""","=""49652.7224""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d5.(4D).4p""","=""x 3F*""","=""2""",,"=""""","=""L14866""",
